,Country,CountryCode,Both,Primary,Secondary,Mortality
0,Belarus,BLR,2.16664,4.17454,0.8341299999999999,3.7
1,Timor-Leste,TLS,18.3034,17.72786,18.97799,47.6
2,Lao People's Democratic Republic,LAO,20.36477,7.1788300000000005,30.31043,63.4
3,El Salvador,SLV,22.63816,18.22823,26.741559999999996,14.5
4,Oman,OMN,4.22952,1.02755,8.170060000000001,11.3
5,Bangladesh,BGD,13.719929999999998,1.7189400000000001,21.915789999999998,32.4
6,Republic of Moldova,MDA,17.0631,10.39165,20.93937,15.5
7,Bolivia (Plurinational State of),BOL,12.23217,8.02437,16.55818,34.9
8,Serbia,SRB,4.30745,1.358,5.70638,5.7
9,Senegal,SEN,35.94305,20.59842,52.18489,45.4
10,Nepal,NPL,10.89662,6.58225,13.751170000000002,33.7
11,Burkina Faso,BFA,38.72882,23.92632,54.51472,81.2
12,Eritrea,ERI,65.0522,64.03556999999999,65.93804,43.1
13,Palestine,PSE,9.85675,6.2701199999999995,11.887889999999999,20.9
14,Egypt,EGY,7.880260000000001,0.83096,15.76566,22.1
15,Bahrain,BHR,1.8994400000000002,1.27283,2.6501099999999997,7.3
16,Uzbekistan,UZB,6.92735,2.2773,9.49598,22.5
17,Chile,CHL,6.01997,5.067740000000001,6.952889999999999,7.4
18,Mauritius,MUS,6.62776,2.72192,9.358989999999999,13.1
19,Mexico,MEX,9.23448,0.09136,18.13186,13.4
20,Kyrgyzstan,KGZ,5.42351,1.71944,7.98946,20.0
21,New Zealand,NZL,0.91665,0.5445800000000001,1.2511700000000001,5.3
22,Mali,MLI,49.79811,36.5337,66.883,106.0
23,Niger,NER,56.09735,37.96412,76.70406,84.5
24,Cabo Verde,CPV,20.30752,14.49037,25.99019,17.4
25,Albania,ALB,7.727069999999999,3.54685,9.96525,8.8
26,Burundi,BDI,19.44688,1.7317099999999999,41.83737,61.2
27,Honduras,HND,28.74502,15.511829999999998,41.64573,18.2
28,Mauritania,MRT,38.4249,21.51726,55.54458,79.0
29,Colombia,COL,7.3586800000000006,5.90496,8.51505,14.7
30,Brunei Darussalam,BRN,8.433019999999999,3.7818400000000003,12.090119999999999,10.5
31,Belize,BLZ,10.27449,1.1070200000000001,18.98195,14.2
32,Barbados,BRB,5.23404,9.48555,0.24908000000000002,12.4
33,Venezuela (Bolivarian Republic of),VEN,16.43338,13.920179999999998,19.53462,30.9
34,Qatar,QAT,6.24779,1.7402099999999998,12.174430000000001,7.6
35,Bhutan,BTN,16.52545,17.41901,15.48921,30.8
36,Guatemala,GTM,29.82372,11.55852,48.130720000000004,27.6
37,Australia,AUS,2.10905,2.835,1.2021700000000002,3.5
38,Cuba,CUB,5.43462,3.04172,7.6419,5.4
39,Dominican Republic,DOM,10.70464,5.52979,15.86069,29.9
40,Ghana,GHA,18.42912,14.119320000000002,23.3846,49.3
41,Norway,NOR,2.0843599999999998,0.16893,4.30586,2.6
42,Malaysia,MYS,11.79871,1.23454,21.7285,7.9
43,Pakistan,PAK,46.09597,29.393040000000003,59.864230000000006,74.9
44,Latvia,LVA,2.18054,2.17788,2.18362,4.2
45,Morocco,MAR,13.070110000000001,3.34856,23.269560000000002,23.3
46,C̫te d'Ivoire,CIV,36.16957,15.08671,57.293240000000004,88.8
47,Antigua and Barbuda,ATG,19.99191,17.37595,23.50154,7.4
48,Saint Vincent and the Grenadines,VCT,4.5413,2.2090099999999997,7.73983,16.2
49,Togo,TGO,26.782809999999998,11.26805,43.07798,72.9
50,Comoros,COM,28.00023,16.40568,39.64952,69.0
51,Montenegro,MNE,7.567419999999999,4.06977,9.712769999999999,3.5
