,Unnamed: 0,Country,CountryCode,Both,Primary,Secondary,Mortality,Sub-Saharan,circle_color
0,0,Belarus,BLR,2.16664,4.17454,0.83413,3.7,,#529999
1,1,Timor-Leste,TLS,18.3034,17.72786,18.97799,47.6,,#529999
2,2,Lao People's Democratic Republic,LAO,20.36477,7.17883,30.31043,63.4,,#529999
3,3,El Salvador,SLV,22.63816,18.22823,26.74156,14.5,,#529999
4,4,Oman,OMN,4.22952,1.02755,8.17006,11.3,,#529999
5,5,Bangladesh,BGD,13.71993,1.71894,21.91579,32.4,,#529999
6,6,Republic of Moldova,MDA,17.0631,10.39165,20.93937,15.5,,#529999
7,7,Bolivia (Plurinational State of),BOL,12.23217,8.02437,16.55818,34.9,,#529999
8,8,Serbia,SRB,4.30745,1.358,5.70638,5.7,,#529999
9,9,Senegal,SEN,35.94305,20.59842,52.18489,45.4,TRUE,firebrick
10,10,Nepal,NPL,10.89662,6.58225,13.75117,33.7,,#529999
11,11,Burkina Faso,BFA,38.72882,23.92632,54.51472,81.2,TRUE,firebrick
12,12,Eritrea,ERI,65.0522,64.03557,65.93804,43.1,TRUE,firebrick
13,13,Palestine,PSE,9.85675,6.27012,11.88789,20.9,,#529999
14,14,Egypt,EGY,7.88026,0.83096,15.76566,22.1,FALSE,#529999
15,15,Bahrain,BHR,1.89944,1.27283,2.65011,7.3,,#529999
16,16,Uzbekistan,UZB,6.92735,2.2773,9.49598,22.5,,#529999
17,17,Chile,CHL,6.01997,5.06774,6.95289,7.4,,#529999
18,18,Mauritius,MUS,6.62776,2.72192,9.35899,13.1,TRUE,firebrick
19,19,Mexico,MEX,9.23448,0.09136,18.13186,13.4,,#529999
20,20,Kyrgyzstan,KGZ,5.42351,1.71944,7.98946,20,,#529999
21,21,New Zealand,NZL,0.91665,0.54458,1.25117,5.3,,#529999
22,22,Mali,MLI,49.79811,36.5337,66.883,106,TRUE,firebrick
23,23,Niger,NER,56.09735,37.96412,76.70406,84.5,TRUE,firebrick
24,24,Cabo Verde,CPV,20.30752,14.49037,25.99019,17.4,,#529999
25,25,Albania,ALB,7.72707,3.54685,9.96525,8.8,,#529999
26,26,Burundi,BDI,19.44688,1.73171,41.83737,61.2,TRUE,firebrick
27,27,Honduras,HND,28.74502,15.51183,41.64573,18.2,,#529999
28,28,Mauritania,MRT,38.4249,21.51726,55.54458,79,TRUE,firebrick
29,29,Colombia,COL,7.35868,5.90496,8.51505,14.7,,#529999
30,30,Brunei Darussalam,BRN,8.43302,3.78184,12.09012,10.5,,#529999
31,31,Belize,BLZ,10.27449,1.10702,18.98195,14.2,,#529999
32,32,Barbados,BRB,5.23404,9.48555,0.24908,12.4,,#529999
33,33,Venezuela (Bolivarian Republic of),VEN,16.43338,13.92018,19.53462,30.9,,#529999
34,34,Qatar,QAT,6.24779,1.74021,12.17443,7.6,,#529999
35,35,Bhutan,BTN,16.52545,17.41901,15.48921,30.8,,#529999
36,36,Guatemala,GTM,29.82372,11.55852,48.13072,27.6,,#529999
37,37,Australia,AUS,2.10905,2.835,1.20217,3.5,,#529999
38,38,Cuba,CUB,5.43462,3.04172,7.6419,5.4,,#529999
39,39,Dominican Republic,DOM,10.70464,5.52979,15.86069,29.9,,#529999
40,40,Ghana,GHA,18.42912,14.11932,23.3846,49.3,TRUE,firebrick
41,41,Norway,NOR,2.08436,0.16893,4.30586,2.6,,#529999
42,42,Malaysia,MYS,11.79871,1.23454,21.7285,7.9,,#529999
43,43,Pakistan,PAK,46.09597,29.39304,59.86423,74.9,,#529999
44,44,Latvia,LVA,2.18054,2.17788,2.18362,4.2,,#529999
45,45,Morocco,MAR,13.07011,3.34856,23.26956,23.3,FALSE,#529999
46,46,C̫te d'Ivoire,CIV,36.16957,15.08671,57.29324,88.8,TRUE,firebrick
47,47,Antigua and Barbuda,ATG,19.99191,17.37595,23.50154,7.4,,#529999
48,48,Saint Vincent and the Grenadines,VCT,4.5413,2.20901,7.73983,16.2,,#529999
49,49,Togo,TGO,26.78281,11.26805,43.07798,72.9,TRUE,firebrick
50,50,Comoros,COM,28.00023,16.40568,39.64952,69,TRUE,firebrick
51,51,Montenegro,MNE,7.56742,4.06977,9.71277,3.5,,#529999