,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,M49 code,ISO-alpha3 code
230,United States Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,850,VIR
231,Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.46689,8.0778,7.04466,..,..,..,..,7.55758,5.84902,5.21455,..,..,858,URY
232,Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.33502,11.75802,10.15634,9.6315,9.34272,8.67843,7.84017,6.92735,..,860,UZB
233,Vanuatu,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.66511,24.61877,25.11063,23.61218,21.99109,22.31495,..,..,..,..,..,..,..,..,..,..,15.75565,..,..,..,548,VUT
234,Venezuela (Bolivarian Republic of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.13903,20.43174,17.75047,15.3277,15.81821,14.91019,14.27873,12.95309,11.12385,12.21067,10.58025,10.41724,10.14229,9.50436,9.02707,10.16439,11.81007,14.35296,16.43338,..,862,VEN
235,Viet Nam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,704,VNM
236,Wallis and Futuna Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,876,WLF
237,Western Sahara,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,732,ESH
238,Yemen,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.73727,..,..,..,..,..,..,..,..,..,..,43.82545,..,40.05027,36.82009,..,..,35.7565,..,..,887,YEM
239,Zambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,894,ZMB
240,Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.75569,26.84628,25.29358,29.05251,31.55066,..,..,..,..,..,..,..,..,24.43465,25.19274,..,..,..,..,..,716,ZWE
241,Sustainable Development Goal Regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
242,  World,40.12897,40.11087,39.41364,37.3993,37.22358,36.11595,35.25685,35.16234,36.34627,36.44158,36.09499,35.8902,36.00116,36.09443,36.0318,35.41756,34.76885,34.30967,33.88736,33.59191,33.60567,33.19012,32.88719,32.21927,31.83294,31.65073,31.19424,30.8931,30.73288,30.23468,29.47978,28.94702,27.82587,25.90315,24.80114,24.38582,23.68277,22.48638,21.60964,21.08432,20.28763,19.63692,19.0767,18.73673,18.59992,18.43218,18.23281,18.14774,..,,
243,  Landlocked Developing Countries,61.87279,61.75984,61.22509,60.82127,60.34979,59.74618,59.3712,58.93053,58.80087,58.13569,56.69086,55.0606,55.51967,55.13404,54.66368,54.49231,54.35316,53.76035,53.4331,53.29552,53.36418,53.52926,54.55992,54.77068,54.30739,53.28671,52.72156,50.47455,50.07015,49.2307,48.37044,47.15184,44.5937,42.71679,41.12355,39.77234,37.72586,36.85801,34.78022,34.29719,33.72188,32.90225,31.84352,32.03648,32.4807,32.64926,32.28107,31.57975,..,,
244,  Least Developed Countries,69.66882,70.76721,69.02591,66.85727,66.63046,64.60011,63.22524,62.9021,61.94772,61.02436,59.9449,59.13562,59.34605,59.58476,59.38668,59.91731,59.89078,59.99543,58.34066,58.40629,58.74557,57.77259,57.93952,57.66321,57.34268,56.36478,56.1754,54.88251,56.05818,55.46022,53.85457,52.35598,49.50744,47.22012,45.40794,43.99256,41.79963,40.23252,38.46269,37.13163,36.31355,35.55993,34.38277,33.93923,33.65905,33.4319,32.92091,32.60102,..,,
245,  Small Island Developing States,32.33786,32.11827,33.02026,32.27491,31.80388,29.61681,28.51804,27.66331,27.8726,28.46136,27.48259,27.83007,27.60859,27.21771,27.3427,26.9194,27.28901,28.60512,29.00675,28.62949,30.20593,30.7722,30.87294,30.44781,29.96655,29.55308,28.2281,27.01222,26.26071,25.83227,25.35092,24.57702,24.03057,24.81785,25.12298,24.56751,23.92666,22.87297,22.95751,22.16227,19.68013,18.04084,16.75916,16.30952,16.12148,15.96593,15.87915,15.56317,..,,
246,  Africa (Sub-Saharan) ,68.39564,68.15753,67.43036,66.60072,65.48091,64.36013,63.58437,62.04677,60.19385,58.03405,56.4425,54.79338,53.18857,53.05396,53.29489,53.92518,55.60151,56.11052,56.43974,56.56814,56.83183,56.19658,56.56003,56.22515,56.35229,55.65329,56.46243,54.69655,53.71662,52.77159,51.21105,49.84454,48.32087,46.56183,44.82396,43.0942,41.65641,40.26965,38.68917,37.60365,36.83604,35.71232,35.17994,34.79762,34.59033,34.49122,34.52516,34.22873,..,,
247,  Western Asia and Northern Africa,51.52488,52.10162,51.12499,50.50947,50.29562,49.17752,48.20871,47.40009,47.12479,46.23539,44.94692,44.34715,43.95006,43.27617,42.16551,40.60318,40.16048,38.78432,37.9283,37.84991,37.1556,36.46061,38.15463,37.65002,36.53025,37.04336,35.59438,35.07048,33.81261,32.12236,30.60564,28.90389,27.7422,26.62184,25.37837,24.27094,23.73294,22.78807,21.76842,20.95513,19.68019,19.14507,18.27352,19.20361,18.93013,18.72848,18.42684,18.23238,..,,
248,  Africa (Northern),57.33328,57.72782,56.81566,56.26184,55.99431,54.49791,53.48484,52.52357,52.02035,51.41946,50.64034,49.52926,48.48555,47.52476,47.0444,45.08539,43.69158,42.32179,41.38966,40.97803,39.84341,38.98666,41.03909,40.57758,37.66519,38.90209,36.02201,35.09701,34.16745,32.45919,31.06798,29.78404,28.48687,27.91643,26.56133,25.53997,25.21795,24.40541,22.83713,21.38106,20.44973,20.74732,18.78541,18.23233,18.42201,17.84252,16.85522,16.36147,..,,
249,  Asia (Western),44.40715,45.24544,44.21626,43.55733,43.44435,42.81714,41.94257,41.36985,41.41175,40.2347,38.41239,38.45164,38.84489,38.53935,36.76995,35.67949,36.30299,34.94761,34.19459,34.53191,34.38843,33.86868,35.2018,34.65606,35.37147,35.14936,35.16163,35.04365,33.45539,31.78526,30.14633,28.03606,27.01613,25.37503,24.25452,23.03989,22.31493,21.24363,20.76178,20.57424,18.99749,17.73178,17.82421,20.05357,19.3741,19.50277,19.8017,19.88007,..,,
250,  Asia (Central and Southern),60.22892,60.71784,59.61434,57.57746,57.59769,56.59973,56.31141,55.47931,56.90483,57.1339,56.18454,55.37509,55.07275,53.88455,52.73144,52.51284,51.37665,52.09178,50.68668,49.13996,48.53428,47.73686,46.7098,45.25102,44.35036,44.31083,43.82112,43.9307,45.91731,46.14016,44.73816,44.13024,42.62162,37.90089,36.14635,34.63332,32.98271,31.11735,29.56692,29.11361,27.33692,26.29558,24.68395,23.48754,23.0889,22.77543,22.2584,22.35526,..,,
251,  Asia (Central),8.84556,8.95371,9.04538,9.14613,9.26723,9.4039,9.55058,9.71064,9.84894,9.94778,9.9993,10.01262,9.91591,9.81048,9.71104,9.63181,9.57414,9.73372,9.89302,10.04693,10.2508,10.52826,10.56451,11.55931,11.54736,11.47296,11.72769,12.23911,12.39034,12.4599,11.91808,9.17581,8.95967,8.85165,8.85423,10.06773,10.07641,10.70257,11.01627,11.16661,11.13558,10.85855,9.91097,9.97499,9.61413,9.04418,8.38429,7.53842,..,,
252,  Asia (Southern),62.29588,62.84098,61.72365,59.60491,59.61079,58.54534,58.21223,57.30474,58.74071,58.94228,57.92525,57.06016,56.72912,55.4789,54.26909,54.03217,52.84936,53.57313,52.10302,50.4887,49.84863,49.01033,47.94093,46.39595,45.46554,45.45674,44.99385,45.08646,47.14159,47.37457,45.94441,45.41731,43.86253,38.96803,37.14116,35.55446,33.82911,31.85903,30.22734,29.73872,27.88871,26.80993,25.16402,23.9181,23.51981,23.21305,22.70325,22.8366,..,,
253,  Asia (Eastern and South-eastern),37.44111,36.61531,35.2649,30.63844,30.24539,27.92551,26.05147,27.42675,30.47111,30.91678,31.58689,31.67636,32.60385,33.37707,33.6995,31.8018,30.13325,27.78837,27.16056,26.78297,26.77638,26.14717,25.17289,24.29686,23.7634,23.08988,21.90826,21.47841,19.94669,18.74297,18.53009,18.27903,16.56146,15.35369,14.54094,15.58294,15.16366,12.99984,12.43703,11.37994,10.48644,9.4681,9.17992,9.29321,9.03498,8.5668,8.20782,7.77641,..,,
254,  Asia (Eastern),37.09102,36.0271,33.23187,27.24649,25.46763,23.57074,21.50623,23.64446,28.94928,30.5209,31.86728,32.27354,34.26984,35.48659,35.84055,33.49579,31.25448,28.82752,27.77153,27.3226,26.79385,25.98882,24.7811,23.55174,22.86388,21.71103,20.45051,19.83423,17.99501,16.44798,16.22535,16.22297,14.3409,13.20461,12.46504,13.25983,12.76372,10.77194,9.64742,8.47802,7.52949,6.92082,6.62225,6.51748,6.40809,6.29761,5.96785,5.72372,..,,
255,  Asia (South-eastern),38.33023,38.08824,40.31224,39.06552,42.2216,38.99253,37.62677,37.92613,35.02484,32.10896,30.74226,29.88794,27.65642,27.21931,27.60448,27.13016,27.15612,25.14225,25.6689,25.51736,26.73686,26.49462,26.00617,25.85317,25.63389,25.97582,25.00325,25.05493,24.26303,23.85739,23.66374,22.83008,21.41864,19.96975,19.13755,20.56357,20.09573,17.37614,17.68133,16.63277,15.67479,13.82978,13.4794,13.89529,13.34075,12.25895,11.83959,11.10745,..,,
256,  Latin America and the Caribbean,22.96666,22.68796,22.42971,21.52981,21.5389,21.06268,19.95465,19.17657,18.84928,18.13752,17.89203,17.32364,17.13276,16.88746,16.74604,16.53209,16.36138,16.40043,16.62712,17.02274,17.00469,16.6954,16.15298,16.07213,16.17176,15.83599,15.28501,15.49785,13.84341,13.00097,12.21601,11.77892,11.36621,11.78384,11.08858,10.7198,10.49672,10.57961,9.30585,9.22825,9.01269,9.23126,9.65827,8.96484,9.21005,9.44871,9.2148,9.23553,..,,
257,  Oceania,21.88652,21.7809,21.73964,21.77902,21.8238,20.86953,20.40158,19.93886,18.98919,19.9262,19.63977,19.89344,20.18558,20.43394,20.80576,20.94929,20.85105,20.83444,20.64906,19.20204,20.94113,21.2357,21.15725,19.9892,18.28918,19.52911,19.15452,17.70815,18.32803,18.84944,19.13956,19.68032,19.59799,19.64502,19.60202,19.29429,19.44646,19.10666,18.88826,17.46062,16.07536,14.64355,13.61087,13.19913,12.75867,12.16739,11.55581,11.60854,..,,
258,  Oceania (Australia/New Zealand),11.79641,11.73588,11.82095,11.92058,11.98246,10.72245,10.10508,9.12299,8.99623,8.69044,8.38554,8.13224,8.21966,8.38156,8.74225,8.46725,7.96122,7.6291,7.07777,6.77753,6.46753,6.23034,5.97299,4.72164,4.45025,4.77027,3.95046,3.63743,3.45018,3.54439,3.47076,3.56284,3.31612,2.71399,2.57018,2.15669,2.09381,1.69611,1.65207,1.45839,1.45394,1.24231,1.45042,1.57484,1.70188,1.60591,1.72922,1.73255,..,,
259,  Oceania (excl. Australia/New Zealand),54.662,54.16779,53.37645,52.76795,52.23583,51.65667,51.17736,51.69627,47.80953,51.72252,50.82585,51.81869,51.81777,51.32702,50.68093,50.81949,50.80449,50.72442,50.6384,46.0414,51.4961,51.91878,51.53717,49.98633,45.0909,49.75263,50.04821,45.88164,47.95301,49.1335,49.92564,51.25454,51.27951,52.25383,51.98319,51.41991,51.49552,50.69943,49.5803,45.40992,41.19386,37.46467,34.11784,32.64494,31.13138,29.61825,27.83512,28.013,..,,
260,  Northern America and Europe,12.25467,12.32889,12.46342,12.40533,12.10572,12.04396,11.80518,11.55111,11.44362,11.83322,10.16347,10.47565,9.88983,9.97337,9.84476,9.71738,9.09917,8.89041,8.32162,8.23073,8.13243,7.85025,7.78351,7.26144,6.85959,6.91674,6.75043,6.77726,6.65425,6.54317,6.68109,5.92577,6.0224,5.43605,5.70838,4.94103,4.95592,5.15255,5.01438,4.63792,5.10469,4.99397,4.87307,4.47929,4.15691,3.61982,3.40157,3.38212,..,,
261,  Europe,11.7157,11.81232,11.98816,12.18053,11.59609,11.49242,11.30717,10.99239,10.85508,10.65926,10.60751,10.88348,10.79621,10.79512,10.7089,10.5231,10.02466,9.6185,9.38343,9.33664,9.30888,8.94947,8.93852,8.23565,7.71356,7.70689,7.37351,7.2891,7.0028,6.58247,6.94591,6.55338,5.98865,5.79853,5.95302,5.46618,5.58872,5.75132,5.36375,5.11675,4.87706,4.9889,4.728,4.07956,3.90209,3.45102,3.40737,3.37707,..,,
262,  Northern America ,13.5523,13.57073,13.60369,12.94497,13.33266,13.37813,13.01748,12.92149,12.89818,14.75653,9.04914,9.44182,7.57501,7.86012,7.61003,7.62557,6.69301,7.0026,5.58861,5.41095,5.16539,5.11063,4.94645,4.90362,4.82398,5.06342,5.3138,5.61573,5.886,6.45886,6.1261,4.64269,6.0898,4.72589,5.22856,3.93407,3.77148,4.0581,4.39104,3.799,5.49701,5.0026,5.11804,5.15236,4.5845,3.90271,3.39184,3.39059,..,,
263,UIS Regions,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
264,  World,40.12897,40.11087,39.41364,37.3993,37.22358,36.11595,35.25685,35.16234,36.34627,36.44158,36.09499,35.8902,36.00116,36.09443,36.0318,35.41756,34.76885,34.30967,33.88736,33.59191,33.60567,33.19012,32.88719,32.21927,31.83294,31.65073,31.19424,30.8931,30.73288,30.23468,29.47978,28.94702,27.82587,25.90315,24.80114,24.38582,23.68277,22.48638,21.60964,21.08432,20.28763,19.63692,19.0767,18.73673,18.59992,18.43218,18.23281,18.14774,..,,
265,  Arab States,57.2977,57.98546,56.74425,56.0358,55.38748,54.1065,52.91959,51.77679,51.12518,49.99395,48.23098,47.25857,47.04516,46.42567,45.93145,43.89301,43.12694,41.43707,40.717,40.54846,39.91186,39.15145,41.40117,40.60128,38.86727,39.53479,37.62223,36.84961,35.84324,34.46515,33.17529,31.64389,30.31588,29.16386,27.9173,26.78342,26.38855,25.4569,24.32276,23.11251,22.1082,21.78811,20.41744,21.9587,21.76006,21.30182,20.86732,20.6294,..,,
266,  Central and Eastern Europe,14.89562,15.11834,15.50722,15.7563,16.21787,16.12517,16.01496,15.91051,15.94745,15.83807,15.92353,16.3681,16.03596,15.81575,14.86656,14.65004,14.62351,14.33422,13.84914,14.10828,14.12411,13.86606,14.02502,14.06615,14.18941,14.42532,14.26378,14.1643,13.39172,12.57717,12.2611,11.29846,10.58351,10.19297,10.34029,10.17579,10.17038,9.85261,9.49539,9.86339,8.76245,7.9358,7.8091,6.60518,6.28176,6.18079,6.42615,6.36014,..,,
267,  Central Asia,8.5757,8.6501,8.70238,8.77534,8.87417,8.97816,9.08305,9.19162,9.28655,9.37532,9.37509,9.44194,9.35478,9.24501,9.13266,9.07102,9.06216,9.20646,9.41874,9.61397,9.78583,10.06332,10.36571,11.66528,12.22162,11.93598,12.39508,13.00493,13.15042,12.86697,12.63871,10.26117,10.12408,10.06021,9.73871,10.52304,10.28778,10.60612,10.80589,10.81974,10.76791,10.55661,9.66329,9.63064,9.21476,8.64028,7.86293,6.895,..,,
268,  East Asia and the Pacific,37.20328,36.39062,35.06422,30.51402,30.13092,27.83345,25.98204,27.33886,30.34059,30.79511,31.45699,31.54834,32.46937,33.23733,33.56067,31.68562,30.03371,27.71487,27.09042,26.6965,26.71257,26.09328,25.12221,24.22984,23.67798,23.03154,21.86388,21.41915,19.92184,18.74376,18.54165,18.3074,16.61373,15.42833,14.62801,15.65539,15.24863,13.11447,12.56136,11.50204,10.60157,9.57597,9.2743,9.37717,9.11659,8.64753,8.28457,7.86413,..,,
269,  Latin America and the Caribbean,22.96587,22.68722,22.4292,21.52954,21.53867,21.06242,19.9543,19.17604,18.84877,18.13721,17.8914,17.32295,17.13196,16.8866,16.74516,16.53121,16.36052,16.39958,16.62627,17.02186,17.00381,16.69454,16.15214,16.07127,16.17088,15.83515,15.28421,15.49714,13.84291,13.00057,12.21571,11.77871,11.36606,11.78363,11.08843,10.71976,10.49687,10.57979,9.30619,9.22865,9.01315,9.23186,9.65916,8.96584,9.21103,9.44957,9.21568,9.2364,..,,
270,  North America and Western Europe,13.40502,13.45317,13.46454,13.25651,12.75103,12.70155,12.43856,12.20964,12.19805,12.84309,10.50703,10.83576,10.06801,10.20299,10.09622,10.04248,9.23417,9.04206,8.27316,8.00775,7.73023,7.37967,7.0709,6.2683,5.67418,5.57815,5.47391,5.60364,5.59936,5.54233,5.56188,4.70074,5.24293,4.48055,4.56886,3.46557,3.41993,3.79257,3.81718,3.5081,4.28829,4.29069,4.45193,4.20536,3.81603,3.31374,3.04193,3.0318,..,,
271,  South and West Asia,62.29588,62.84098,61.72365,59.60491,59.61079,58.54534,58.21223,57.30474,58.74071,58.94228,57.92525,57.06016,56.72912,55.4789,54.26909,54.03217,52.84936,53.57313,52.10302,50.4887,49.84863,49.01033,47.94093,46.39595,45.46554,45.45674,44.99385,45.08646,47.14159,47.37457,45.94441,45.41731,43.86253,38.96803,37.14116,35.55446,33.82911,31.85903,30.22734,29.73872,27.88871,26.80993,25.16402,23.9181,23.51981,23.21305,22.70325,22.8366,..,,
272,  Sub-Saharan Africa,68.2955,68.05515,67.3254,66.4953,65.3705,64.24467,63.46753,61.92882,60.06996,57.90247,56.3177,54.6631,53.05756,52.92618,53.17662,53.81364,55.50505,56.01985,56.35091,56.47697,56.7363,56.1006,56.47502,56.14997,56.28901,55.60114,56.42547,54.65865,53.6799,52.73217,51.16494,49.80307,48.2737,46.51389,44.78573,43.05203,41.61005,40.22393,38.62779,37.54349,36.7814,35.66226,35.13626,34.751,34.55386,34.46218,34.48194,34.19513,..,,
273,  Small Island Developing States,34.31792,34.03957,34.94811,34.08998,33.53892,31.15698,29.95773,29.03652,29.24975,29.77506,28.89161,29.13569,28.776,28.35536,28.4922,28.03291,28.42917,29.85188,30.28306,29.86735,31.55801,32.14356,32.22794,31.74399,31.20061,30.72818,29.28288,27.80229,26.98607,26.51967,26.00024,25.17238,24.59171,25.41713,25.72982,25.13259,24.44448,23.32617,23.40452,22.55769,19.93654,17.99863,16.69809,16.24286,16.08688,15.8477,15.75673,15.43305,..,,
